DATE,UNRATE_PCH
2014-01-01,-16.30804
2015-01-01,-14.34371
2016-01-01,-7.58294
2017-01-01,-10.59829
2018-01-01,-10.70746
2019-01-01,-5.56745
2020-01-01,120.18141
2021-01-01,-33.88260
2022-01-01,-32.08723
2023-01-01,-0.22936
